line,train_num,delay,trainowner
Namboku,B2310K,0,Tokyu
Hibiya,B2311T,0,Tobu
Yurakucho,B2427S,0,TokyoMetro
Tozai,B2317S,0,TokyoMetro
Chiyoda,B2317K,0,JR-East
Fukutoshin,B2315T,0,Tobu
Namboku,A0515K,0,Tokyu
Namboku,A0532S,0,TokyoMetro
Namboku,A0538S,0,TokyoMetro
Namboku,A0544S,0,TokyoMetro
Namboku,B0542S,0,TokyoMetro
Namboku,B0540S,0,TokyoMetro
Namboku,B0534S,0,TokyoMetro
Hibiya,A0532S,0,TokyoMetro
Hibiya,A0550S,0,TokyoMetro
Hibiya,A0554S,0,TokyoMetro
Hibiya,B0560S,0,TokyoMetro
Hibiya,B0558S,0,TokyoMetro
Hibiya,B0556S,0,TokyoMetro
Hibiya,B0509T,0,Tobu
Marunouchi,A0505,0,TokyoMetro
Marunouchi,A0507,0,TokyoMetro
Marunouchi,A0501,0,TokyoMetro
Marunouchi,A05341,0,TokyoMetro
Marunouchi,A05321,0,TokyoMetro
Marunouchi,B05531,0,TokyoMetro
Marunouchi,B0545,0,TokyoMetro
Marunouchi,B0547,0,TokyoMetro
Marunouchi,B0543,0,TokyoMetro
Marunouchi,B0509,0,TokyoMetro
Yurakucho,A0523S,0,TokyoMetro
Yurakucho,A0521S,0,TokyoMetro
Yurakucho,A0549S,0,TokyoMetro
Yurakucho,A0553S,0,TokyoMetro
Yurakucho,A0557S,0,TokyoMetro
Yurakucho,B0565S,0,TokyoMetro
Yurakucho,B0563S,0,TokyoMetro
Yurakucho,B0555S,0,TokyoMetro
Tozai,A0515S,0,TokyoMetro
Tozai,A0513S,0,TokyoMetro
Tozai,A0527S,0,TokyoMetro
Tozai,A0419S,0,TokyoMetro
Tozai,B0487S,0,TokyoMetro
Tozai,B0521S,0,TokyoMetro
Tozai,B0525S,0,TokyoMetro
Tozai,B0523S,0,TokyoMetro
Ginza,A0511,0,TokyoMetro
Ginza,A0501,0,TokyoMetro
Ginza,B0557,0,TokyoMetro
Ginza,B0555,0,TokyoMetro
Ginza,B0547,0,TokyoMetro
Chiyoda,A0501S,0,TokyoMetro
Chiyoda,A0413K,0,JR-East
Chiyoda,B0545S,0,TokyoMetro
Chiyoda,B0543S,0,TokyoMetro
Chiyoda,B0529S,0,TokyoMetro
Chiyoda,B0598S1,0,TokyoMetro
Hanzomon,A0502K,0,Tokyu
Hanzomon,A0579S,0,TokyoMetro
Hanzomon,A0583S,0,TokyoMetro
Hanzomon,B0589S,0,TokyoMetro
Hanzomon,B0581S,0,TokyoMetro
Fukutoshin,A0506M,0,Seibu
Fukutoshin,A0525K,0,Tokyu
Fukutoshin,A0504S,0,TokyoMetro
Fukutoshin,B0501S,0,TokyoMetro
Namboku,A0507K,0,Tokyu
Namboku,A0504K,0,Tokyu
Namboku,A0522K,0,Tokyu
Namboku,A0502K,0,Tokyu
Namboku,A0540S,0,TokyoMetro
Namboku,B0544S,0,TokyoMetro
Namboku,B0584M,0,SaitamaRailway
Namboku,B0560S,0,TokyoMetro
Namboku,B0582M,0,SaitamaRailway
Hibiya,A0638S,0,TokyoMetro
Hibiya,A0506S,0,TokyoMetro
Hibiya,A0570S,0,TokyoMetro
Hibiya,A0504S,0,TokyoMetro
Hibiya,A0534S,0,TokyoMetro
Hibiya,A0552S,0,TokyoMetro
Hibiya,A0556S,0,TokyoMetro
Hibiya,A0502S,0,TokyoMetro
Hibiya,A0666S,0,TokyoMetro
Hibiya,B0632S,0,TokyoMetro
Hibiya,B0550S,0,TokyoMetro
Hibiya,B0564S,0,TokyoMetro
Hibiya,B0554S,0,TokyoMetro
Hibiya,B0562S,0,TokyoMetro
Marunouchi,A0645,0,TokyoMetro
Marunouchi,A0641,0,TokyoMetro
Marunouchi,A0511,0,TokyoMetro
Marunouchi,A0547,0,TokyoMetro
Marunouchi,A0539,0,TokyoMetro
Marunouchi,A0543,0,TokyoMetro
Marunouchi,A0509,0,TokyoMetro
Marunouchi,A06341,0,TokyoMetro
Marunouchi,A0503,0,TokyoMetro
Marunouchi,B0663,0,TokyoMetro
Marunouchi,B06321,0,TokyoMetro
Marunouchi,B0605,0,TokyoMetro
Marunouchi,B0607,0,TokyoMetro
Marunouchi,B0601,0,TokyoMetro
Marunouchi,B0661,0,TokyoMetro
Marunouchi,B05532,0,TokyoMetro
Marunouchi,B0559,0,TokyoMetro
Marunouchi,B05512,0,TokyoMetro
Marunouchi,B0557,0,TokyoMetro
Marunouchi,B0549,0,TokyoMetro
Marunouchi,B0555,0,TokyoMetro
Yurakucho,A0501T,0,Tobu
Yurakucho,A0531S,0,TokyoMetro
Yurakucho,A0651S,0,TokyoMetro
Yurakucho,A0520M,0,Seibu
Yurakucho,A0529S,0,TokyoMetro
Yurakucho,A0555S,0,TokyoMetro
Yurakucho,A0527S,0,TokyoMetro
Yurakucho,A0525S,0,TokyoMetro
Yurakucho,B0675S,0,TokyoMetro
Yurakucho,B0673S,0,TokyoMetro
Yurakucho,B0521S,0,TokyoMetro
Yurakucho,B0549S,0,TokyoMetro
Yurakucho,B0571S,0,TokyoMetro
Yurakucho,B0553S,0,TokyoMetro
Yurakucho,B0569S,0,TokyoMetro
Yurakucho,B0567S,0,TokyoMetro
Yurakucho,B0557S,0,TokyoMetro
Yurakucho,B0565S,0,TokyoMetro
Tozai,A0507K,0,JR-East
Tozai,A0529S,0,TokyoMetro
Tozai,A0521S,0,TokyoMetro
Tozai,A0525S,0,TokyoMetro
Tozai,A0639S,0,TokyoMetro
Tozai,A0523S,0,TokyoMetro
Tozai,A0637S,0,TokyoMetro
Tozai,A0535S,0,TokyoMetro
Tozai,A0517S,0,TokyoMetro
Tozai,A0531S,0,TokyoMetro
Tozai,B0661S,0,TokyoMetro
Tozai,B0664T,0,ToyoRapidRailway
Tozai,B0595S,0,TokyoMetro
Tozai,B0593S,0,TokyoMetro
Tozai,B0641S,0,TokyoMetro
Tozai,B0591S,0,TokyoMetro
Tozai,B0563S,0,TokyoMetro
Tozai,B0533S,0,TokyoMetro
Tozai,B0589S,0,TokyoMetro
Tozai,B0562T,0,ToyoRapidRailway
Ginza,A0661,0,TokyoMetro
Ginza,A0659,0,TokyoMetro
Ginza,A0503,0,TokyoMetro
Ginza,A0557,0,TokyoMetro
Ginza,A0555,0,TokyoMetro
Ginza,B0665,0,TokyoMetro
Ginza,B0647,0,TokyoMetro
Ginza,B0563,0,TokyoMetro
Ginza,B0501,0,TokyoMetro
Chiyoda,A0503K,0,JR-East
Chiyoda,A0521S,0,TokyoMetro
Chiyoda,A0505S,0,TokyoMetro
Chiyoda,A0547S,0,TokyoMetro
Chiyoda,A0503S,0,TokyoMetro
Chiyoda,B0637S,0,TokyoMetro
Chiyoda,B0501S,0,TokyoMetro
Chiyoda,B0631S,0,TokyoMetro
Chiyoda,B0513K,0,JR-East
Chiyoda,B0535S,0,TokyoMetro
Chiyoda,B0698S1,0,TokyoMetro
Hanzomon,A0537K,0,Tokyu
Hanzomon,A0508K,0,Tokyu
Hanzomon,A0505K,0,Tokyu
Hanzomon,A0580T,0,Tobu
Hanzomon,B0693S,0,TokyoMetro
Hanzomon,B0552T,0,Tobu
